"","K1","K2","K","r1","r2","p1","r1.interAHM","p1.intraA","p2","p2.intraS","p2.interS"
"Diospyros lanceifolia",0.971502241781203,0.989965547780113,0.971502241781203,4.08052306733783,-12.4370890746614,-4.77816945940237,-0.298508933963916,1.16757502068701,3.12584785055606,-0.108875997830314,-0.0379638595410623
"Diplospora malaccensis",0.971857174247885,0.991042689208378,0.971857174247885,4.66673514799913,-12.7798294653622,-5.3211353520395,-1.32271945741396,1.16136624995754,3.0470673405481,-0.0663747854577678,-0.45865234277144
"Elaeocarpus mastersii",0.966909156380736,0.98142538095726,0.966909156380736,3.8544733230002,-13.4999246749752,-4.0964783713518,-0.744778054697962,-0.784201504261085,3.44001212618932,-0.108875997830314,-0.0379638595410623
"Elaeocarpus stipularis",0.967641157376958,0.990062490798858,0.967641157376958,2.55616440665142,-12.8620088339964,-4.25819740040604,-0.744778054697962,0.886978392040134,4.00391164223207,-0.371605656457201,-0.399795438049798
"Garcinia parvifolia",0.970369248900292,0.978005559214572,0.970369248900292,4.22537063977311,-13.228643914614,-5.8685354276594,-0.223482782308538,1.16407538483294,4.252717591914,-0.0496960636740981,-0.0708938636592551
"Gironniera nervosa",0.971521659090273,0.995728452362135,0.971521659090273,4.30059564604058,-12.8895209938139,-4.3867493945205,-0.118566518116853,1.32679346318299,4.32272407377907,-0.108875997830314,-0.000946472530133233
"Gluta wallichii",0.970548437810737,0.992661714564207,0.970548437810737,4.36302988569608,-13.5423037331049,-4.73369735583632,-1.00763543975603,1.07868970413014,4.16242445313713,-0.108875997830314,-0.0379638595410623
"Gymnacranthera farquhariana",0.969527162799785,0.991486102622072,0.969527162799785,4.14499432101648,-12.7030166468925,-4.6296326099468,-0.758371008989877,1.06329848756673,4.25488910302593,-0.222482917292901,-0.0379638595410623
"Gymnacranthera forbesii",0.967849832919614,0.991363986752112,0.967849832919614,3.97428535908082,-13.2182565801952,-4.63874431965467,-0.474681581284518,1.15378572303909,4.04599350684379,-0.283198385094595,-0.0379638595410623
"Gynotroches axillaris",0.970113427593181,0.988681400430998,0.970113427593181,4.08546979052206,-13.034021315378,-4.88454346234901,-0.363951987989058,1.16284125937221,4.23047341341668,-0.0824918059114242,-0.0859244919617494
