"","Intercept","h","CAE","HAE","HM","hxCAE","hxHAE","hxHM","sigma"
"Carallia brachiata",0.461374887346206,0.90977680874733,-0.101337254080127,-0.157393830147343,0.0627265976869715,0.0277658475506576,0.0396811876895641,0.00251209780854019,0.19310799101115
"Cryptocarya ferrea",0.457037775773028,0.908982418805861,-0.099114753820801,-0.154851495652532,0.0474828882644526,0.0281850151831014,0.039846751971173,0.00261592509530283,0.19310799101115
"Diospyros lanceifolia",0.455001603749626,0.908727208129113,-0.097459354537803,-0.147851975727552,0.0553814071816267,0.02837793799384,0.0404474293039866,0.00263964020147502,0.19310799101115
"Diospyros styraciformis",0.453550998582088,0.908445678380748,-0.0953074269918742,-0.153382190579583,0.0326404417881357,0.0284343627926967,0.0389161082614989,0.000852948900488449,0.19310799101115
"Diplospora malaccensis",0.455029551234088,0.907996476115883,-0.137566186683102,-0.193610845225083,0.0648749795626316,0.0265306727065771,0.0440298838953212,0.00507270952470652,0.19310799101115
"Elaeocarpus mastersii",0.44636814578707,0.907451585607995,-0.0904967863204794,-0.171097568982517,0.0356974585417324,0.0294626314167709,0.0357974399628853,2.83673537544845e-05,0.19310799101115
"Elaeocarpus stipularis",0.446228598126104,0.907831374395049,-0.0887652312809172,-0.171599156689256,0.0585129928459564,0.028589940975028,0.0410454173974769,0.00340014061222723,0.19310799101115
"Ficus fistulosa",0.45167018590491,0.908342253223616,-0.0788790020867719,-0.137089317405731,0.00547984380754481,0.0292306053458067,0.0392315952585301,-0.00350732687810574,0.19310799101115
"Garcinia parvifolia",0.44341490463523,0.90726879062156,-0.122243378750617,-0.165074268858083,0.0679878031966612,0.0259208786739975,0.0361620419225791,0.00532458115456818,0.19310799101115
"Gironniera nervosa",0.465981101752308,0.909695930029411,-0.120970648061121,-0.216974977864878,0.0593453932015666,0.0260919360450626,0.0487823269315677,0.00584794400808565,0.19310799101115
"Gluta wallichii",0.439595789767793,0.906944831331662,-0.100241313220041,-0.20940715168732,0.067127292277541,0.029532447289864,0.0360873119291847,0.00711873236741577,0.19310799101115
"Gynotroches axillaris",0.453135639211344,0.908524981368586,-0.112430586411953,-0.17230738484632,0.0408898738925503,0.0268994297057947,0.0358297846955426,0.00178753922935901,0.19310799101115
"Horsfieldia polyspherula",0.459371427562294,0.907933662200551,-0.018959287771485,-0.0750695662997986,0.113744745654294,0.0337337712436568,0.0480909101984746,0.00794248745805291,0.19310799101115
"Koilodepas longifolium",0.458840878696978,0.909119368083801,-0.111621595233632,-0.174496220047482,0.0515214613566084,0.0273869617925838,0.0398704613833133,0.00250674046791971,0.19310799101115
"Lithocarpus ewyckii",0.452631485608002,0.908347730832631,-0.107109740066954,-0.166400561545338,0.058234764808679,0.0284667893157881,0.0403080294046604,0.00254951071762236,0.19310799101115
"Litsea firma",0.460701567247818,0.909520488806944,-0.10354551099166,-0.134561783912063,0.0484584888402072,0.0281343924377112,0.0357298270883234,0.00306735788000565,0.19310799101115
"Macaranga bancana",0.471494492657191,0.909853642262291,-0.142418700167974,-0.155486971148938,0.178076800125534,0.0276583966373948,0.0425383588025804,0.0136236519793949,0.19310799101115
"Osmelia philippina",0.444521973592862,0.907427860750517,-0.0945066308474529,-0.14700652398655,0.0184022494016139,0.0283933188015236,0.0377602968660167,-0.003182728041924,0.19310799101115
"Pentace triptera",0.451897767127283,0.906913958620837,-0.123031319842769,-0.266610053172506,0.257897106687654,0.0293067072763912,0.0515482889536628,0.0232186735226786,0.19310799101115
"Pometia pinnata",0.466509149490539,0.909490650660469,-0.0917059173148331,-0.12572834855133,0.0729485902560411,0.0281905904863623,0.0357508645029009,0.00293860120648429,0.19310799101115
"Prunus polystachya",0.448419378195212,0.907166995672795,-0.107770886819478,-0.202423869745955,0.0581743126273232,0.0317890437058883,0.0497249633232642,0.00617239905757612,0.19310799101115
"Rhodamnia cinerea",0.458760577783157,0.909574930090551,-0.0788029990003425,-0.0376602624949284,-0.0337937750567601,0.0290158181067644,0.0289288684285696,-0.00788832236891441,0.19310799101115
"Santiria apiculata var. apiculata",0.459155105975779,0.90935556376939,-0.107719756094037,-0.141531170428606,0.0544238186854851,0.0279167536719794,0.0386505570859689,0.00279753177292247,0.19310799101115
